pl_rade,pl_eqt,pl_orbper,st_teff,st_rad,st_logg,tfopwg_disp
12.5541925,897.2038496,3.4779776,4699.0,0.765001,4.54638,CP
13.7911583,1324.2410445,3.0353977,5751.0,1.07224,4.35036,KP
2.5802896,813.0378617,3.1274634,4225.0,0.693431,4.5756,CP
2.7733674,607.6028794,7.4931613,4225.0,0.693431,4.5756,CP
3.8319135,323.1161011,49.825166,4225.0,0.693431,4.5756,CP
3.8092663,704.2235859,18.0574016,5897.0,1.01,4.45922,PC
2.16145,572.0,20.8774413,5396.0,0.9,4.50457,PC
1.46266,1449.0,1.0214555,5098.0,0.82,4.54682,PC
3.31116,2612.0,1.0793011,4349.3,0.67,4.62,FP
,2522.0,8.0428575,8286.0,,,FP
27.6744,2902.0,3.9392211,8715.0,4.12,3.55,APC
6.47219,1417.0,4.0157492,6585.0,2.07,3.94,FP
7.3626,2444.0,2.01976,7274.6,1.72,4.18,FP
1.9226211,577.2199136,8.1995368,4028.0,0.650533,4.55902,PC
,,1.748054,,,,FP
12.1711,1545.0,2.65646,6135.4,3.98,3.4,FP
,,2.65688,,,,FP
15.2105,1609.0,4.7201912,6696.0,1.8,4.08,CP
23.4514,2400.0,4.03349,11348.0,6.37,,FP
14.3988,1916.0,3.3295394,7965.0,2.35,3.98,FP
13.8394,1933.0,3.8615978,7396.0,2.45,3.89,FP
20.8091,2292.0,3.3448404,9364.0,1.76,4.32,KP
7.8498891,254.6525048,95.174,5723.2,1.51811,3.6,CP
3.19902,835.0,8.8803247,5555.7,0.92,4.49,CP
2.55979,527.0,28.5804571,5555.7,0.92,4.49,CP
2.6167,625.0,38.3513495,5555.7,0.92,4.49,CP
1.4616853,891.6389885,1.4015183,3794.0,0.597007,4.67812,CP
5.3744721,895.5943008,8.5874668,5929.0,0.987583,4.48275,FP
48.9878,1443.0,6.4474918,6477.6,1.69,4.13,FP
,2358.0,1.4136455,5869.0,,,FP
5.34279,4701.0,3.4040139,9622.0,1.65,4.39,FP
16.0334,904.0,13.7431164,5941.5,1.4,4.23,FP
16.9325,2137.0,8.47134,5146.0,4.88,,PC
2.7049797,811.847988,5.5025577,4965.0,0.784109,4.56,PC
2.5235818,1186.6066429,1.7622537,4965.0,0.784109,4.56,PC
1.7536544,1678.5549814,0.8474218,5300.0,0.846387,4.56,CP
1.6177405,938.9141348,4.8420438,5300.0,0.846387,4.56,CP
1.83828,1174.0,2.14056,4567.0,0.84,4.39,FP
2.7546,673.0,12.71672,5711.1,1.27,4.24,APC
17.0952,1715.0,4.1269046,6888.0,1.59,4.23416,CP
17.4013,1925.0,5.5402372,6415.0,3.39,3.49,PC
,,5.92941,,,,APC
13.3622,,5.2958813,5958.7,1.93,,APC
9.91393,2535.0,4.4350025,9706.0,1.87,4.29,FP
9.00484,5621.0,1.4287976,9224.0,1.65,4.37,FP
17.0442,1626.0,1.4412175,5672.9,1.46,4.13,FP
3.76716,1198.0,1.6849938,5923.0,1.11,4.38,PC
9.43435,1170.0,3.9152737,5714.0,1.58,4.05,CP
